,artist,album,reviewauthor,score,releaseyear,reviewdate,recordlabel,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Studio 1,Studio 1,Andy Battaglia,8.5,2009,February 18 2009,Studio,Electronic,0.511916667,0.499666667,5.25,-5.626583332999999,0.031983333,0.724916667,0.024493083,0.165366667,0.555083333,101.3951667
1,John Fahey,The Great Santa Barbara Oil Slick,Mark Richardson,8.2,2005,February 13 2005,Water,Folk/Country,0.369764706,0.325411765,4.470588235,-19.15382353,0.148623529,0.647052941,0.559133059,0.527782353,0.179464706,107.6226471
2,Reigning Sound,Too Much Guitar,Stephen M. Deusner,8.3,2004,August 19 2004,In the Red,Electronic,0.253942857,0.912857143,4.428571429,-1.0895,0.0555,0.000253125,0.751214286,0.199071429,0.552785714,133.8955
3,The Red Thread,After the Last,Chris Dahlen,7.3,2003,July 17 2003,Badman,Rock,0.4254,0.433474,5.7,-12.871,0.02826,0.3103245,0.2241367,0.12515,0.4514,104.3542
4,Mac Miller,Swimming,Evan Rytlewski,7.5,2018,August 3 2018,Warner Bros.,Rap,0.624846154,0.438153846,4.153846154,-9.456076923,0.1702461539999999,0.652461538,0.012818515,0.121130769,0.281138462,122.1213077
5,French Kicks,Swimming,Roque Strew,7.6,2008,August 27 2008,Vagrant,Electronic,0.624846154,0.438153846,4.153846154,-9.456076923,0.1702461539999999,0.652461538,0.012818515,0.121130769,0.281138462,122.1213077
6,Jessica Lea Mayfield,With Blasphemy So Heartfelt,Stephen M. Deusner,8.2,2008,November 11 2008,Polymer,Rock,0.447583333,0.399083333,6.5,-8.402000000000001,0.032266667,0.69475,0.004032765,0.123141667,0.237933333,111.5499167
7,The Essex Green,Essex Green EP,Matt LeMay,8.1,2000,May 31 2000,Parasol,Rock,0.7290000000000001,0.932,5.0,-3.0380000000000003,0.0623,0.00227,0.197,0.139,0.283,127.988
8,Grateful Dead,The Grateful Dead: 50th Anniversary Deluxe Edition,Sam Sodomsky,6.9,2017,January 19 2017,Rhino,Rock,0.4294,0.429,4.75,-12.00925,0.048135,0.592355,0.30019469,0.180605,0.5038050000000001,94.168
9,Wolf Parade,EP 4,Ian Cohen,7.0,2016,May 26 2016,Wolf Parade Productions,Rock,0.611,0.6248,6.6,-6.7052,0.1239,0.25464,0.133600826,0.1261,0.5356,155.7162
10,American Football,American Football,Ian Cohen,8.6,1999,May 21 2014,Polyvinyl,Rock,0.482777778,0.6818888890000001,5.222222222,-9.121777778,0.031888889,0.272560889,0.361656667,0.141988889,0.282888889,123.864
11,FIDLAR,FIDLAR,Brandon Stosuy,7.0,2013,January 25 2013,Mom & Pop,Rock,0.361714286,0.8744285709999999,6.928571429,-3.9415,0.058092857,0.003129442,0.266359071,0.254007143,0.382171429,136.5825714
12,The Soft Pink Truth,Do You Want New Wave or Do You Want the Soft Pink Truth?,Cameron Macdonald,8.5,2004,November 3 2004,Tigerbeat6,Electronic,0.7884,0.5305,5.1,-9.9915,0.09056,0.0883916,0.502037,0.18218,0.4537,132.5524
13,Tara Jane O’Neil,In the Sun Lines,Camilo Arturo Leslie,7.0,2001,October 2 2001,Touch and Go,Folk/Country,0.3781,0.26738,5.7,-14.9979,0.03154,0.9193,0.5351253,0.11716,0.08737,99.9838
14,Throw Me the Statue,Creaturesque,Paul Thompson,6.1,2009,August 11 2009,Secretly Canadian,Rock,0.5995,0.683666667,3.083333333,-8.428583332999999,0.039175,0.3114,0.308920392,0.1429,0.71925,121.908
15,Steve Earle,Jerusalem,William Bowers,5.6,2002,February 16 2003,Artemis,Rock,0.7611,0.5325,5.8,-7.6872,0.09449,0.184834,0.04450305,0.1383,0.7043,133.8123
16,Octo Octa,Between Two Selves,Angus Finlayson,7.4,2013,May 22 2013,100% Silk,Electronic,0.7175,0.62925,3.75,-13.444625,0.100275,0.20778375,0.68295375,0.1649,0.287,116.62125
17,Seafood,Surviving the Quiet,John Dark,7.0,2001,April 17 2001,Big Wheel Recreation,Rock,0.3742,0.49860623,4.0,-9.0702,0.04902,0.17017521,0.071756926,0.13463,0.24959,140.3754
18,Fela Kuti,Fela: The Best of the Black President,Mike Powell,8.1,2009,January 12 2010,Knitting Factory,Global,0.7337692309999999,0.8113076920000001,7.384615385,-6.686461538,0.097753846,0.321430769,0.0693423579999999,0.113492308,0.710461538,108.5873846
19,Aloe Blacc,Good Things,Nate Patrin,6.7,2010,September 30 2010,Stones Throw,Rap,0.541538462,0.607846154,4.846153846,-6.925923077,0.065738462,0.235023077,0.068799493,0.209961538,0.640846154,126.1984615
